,fields.date,objet_jour
958,2021-08-16,70
959,2021-08-17,69
960,2021-08-18,64
961,2021-08-19,63
962,2021-08-20,63
963,2021-08-21,55
964,2021-08-22,35
965,2021-08-23,79
966,2021-08-24,62
967,2021-08-25,71
968,2021-08-26,84
969,2021-08-27,61
970,2021-08-28,43
971,2021-08-29,25
972,2021-08-30,64
973,2021-08-31,92
974,2021-09-01,69
975,2021-09-02,95
976,2021-09-03,60
977,2021-09-04,28
978,2021-09-05,30
979,2021-09-06,67
980,2021-09-07,68
981,2021-09-08,74
982,2021-09-09,66
983,2021-09-10,71
984,2021-09-11,30
985,2021-09-12,17
986,2021-09-13,72
987,2021-09-14,69
988,2021-09-15,83
989,2021-09-16,67
990,2021-09-17,61
991,2021-09-18,47
992,2021-09-19,29
993,2021-09-20,69
994,2021-09-21,17
995,2021-09-22,76
996,2021-09-23,51
997,2021-09-24,50
998,2021-09-25,41
999,2021-09-26,15
1000,2021-09-27,81
1001,2021-09-28,86
1002,2021-09-29,86
1003,2021-09-30,79
1004,2021-10-01,76
1005,2021-10-02,39
1006,2021-10-03,21
1007,2021-10-04,92
1008,2021-10-05,72
1009,2021-10-06,55
1010,2021-10-07,51
1011,2021-10-08,69
1012,2021-10-09,31
1013,2021-10-10,15
1014,2021-10-11,77
1015,2021-10-12,69
1016,2021-10-13,77
1017,2021-10-14,115
1018,2021-10-15,74
1019,2021-10-16,50
1020,2021-10-17,41
1021,2021-10-18,65
1022,2021-10-19,71
1023,2021-10-20,53
1024,2021-10-21,79
1025,2021-10-22,71
1026,2021-10-23,49
1027,2021-10-24,6
1028,2021-10-25,48
1029,2021-10-26,63
1030,2021-10-27,53
1031,2021-10-28,65
1032,2021-10-29,48
1033,2021-10-30,65
1034,2021-10-31,12
1035,2021-11-01,43
1036,2021-11-02,111
1037,2021-11-03,65
1038,2021-11-04,80
1039,2021-11-05,79
1040,2021-11-06,57
1041,2021-11-07,19
1042,2021-11-08,97
1043,2021-11-09,82
1044,2021-11-10,64
1045,2021-11-11,36
1046,2021-11-12,94
1047,2021-11-13,64
1048,2021-11-14,14
1049,2021-11-15,86
1050,2021-11-16,91
1051,2021-11-17,52
1052,2021-11-18,71
1053,2021-11-19,77
1054,2021-11-20,32
1055,2021-11-21,32
1056,2021-11-22,65
1057,2021-11-23,63
1058,2021-11-24,51
1059,2021-11-25,57
1060,2021-11-26,47
1061,2021-11-27,59
1062,2021-11-28,22
1063,2021-11-29,60
1064,2021-11-30,50
1065,2021-12-01,101
1066,2021-12-02,87
1067,2021-12-03,60
1068,2021-12-04,53
1069,2021-12-05,17
1070,2021-12-06,70
1071,2021-12-07,56
1072,2021-12-08,63
1073,2021-12-09,88
1074,2021-12-10,71
1075,2021-12-11,51
1076,2021-12-12,37
1077,2021-12-13,89
1078,2021-12-14,94
1079,2021-12-15,65
1080,2021-12-16,73
1081,2021-12-17,80
1082,2021-12-18,66
1083,2021-12-19,27
1084,2021-12-20,69
1085,2021-12-21,53
1086,2021-12-22,56
1087,2021-12-23,66
1088,2021-12-24,41
1089,2021-12-25,11
1090,2021-12-26,21
1091,2021-12-27,80
1092,2021-12-28,70
1093,2021-12-29,54
1094,2021-12-30,77
1095,2021-12-31,61
1096,2022-01-01,27
1097,2022-01-02,29
1098,2022-01-03,65
1099,2022-01-04,66
1100,2022-01-05,52
1101,2022-01-06,50
1102,2022-01-07,53
1103,2022-01-08,42
1104,2022-01-09,17
1105,2022-01-10,53
1106,2022-01-11,60
1107,2022-01-12,54
1108,2022-01-13,73
1109,2022-01-14,57
1110,2022-01-15,21
1111,2022-01-16,26
1112,2022-01-17,76
1113,2022-01-18,48
1114,2022-01-19,69
1115,2022-01-20,66
1116,2022-01-21,43
1117,2022-01-22,45
1118,2022-01-23,15
1119,2022-01-24,65
1120,2022-01-25,58
1121,2022-01-26,51
1122,2022-01-27,69
1123,2022-01-28,37
1124,2022-01-29,43
1125,2022-01-30,9
1126,2022-01-31,96
1127,2022-02-01,53
1128,2022-02-02,51
1129,2022-02-03,57
1130,2022-02-04,71
1131,2022-02-05,41
1132,2022-02-06,22
1133,2022-02-07,78
1134,2022-02-08,59
1135,2022-02-09,56
1136,2022-02-10,69
1137,2022-02-11,65
1138,2022-02-12,39
1139,2022-02-13,6
1140,2022-02-14,58
1141,2022-02-15,87
1142,2022-02-16,87
1143,2022-02-17,57
1144,2022-02-18,53
1145,2022-02-19,49
1146,2022-02-20,21
1147,2022-02-21,63
1148,2022-02-22,79
1149,2022-02-23,64
1150,2022-02-24,48
1151,2022-02-25,80
1152,2022-02-26,41
1153,2022-02-27,29
1154,2022-02-28,68
1155,2022-03-01,66
1156,2022-03-02,64
1157,2022-03-03,72
1158,2022-03-04,65
1159,2022-03-05,78
1160,2022-03-06,23
1161,2022-03-07,81
1162,2022-03-08,54
1163,2022-03-09,71
1164,2022-03-10,59
1165,2022-03-11,72
1166,2022-03-12,33
1167,2022-03-13,19
1168,2022-03-14,93
1169,2022-03-15,69
1170,2022-03-16,59
1171,2022-03-17,67
1172,2022-03-18,74
1173,2022-03-19,55
1174,2022-03-20,23
1175,2022-03-21,70
1176,2022-03-22,70
1177,2022-03-23,63
1178,2022-03-24,70
1179,2022-03-25,71
1180,2022-03-26,43
1181,2022-03-27,16
1182,2022-03-28,80
1183,2022-03-29,74
1184,2022-03-30,52
1185,2022-03-31,80
1186,2022-04-01,86
1187,2022-04-02,28
1188,2022-04-03,27
1189,2022-04-04,90
1190,2022-04-05,83
1191,2022-04-06,68
1192,2022-04-07,80
1193,2022-04-08,81
1194,2022-04-09,40
1195,2022-04-10,11
1196,2022-04-11,99
1197,2022-04-12,61
1198,2022-04-13,60
1199,2022-04-14,71
1200,2022-04-15,121
1201,2022-04-16,77
